run_id,question_id,model_id,baseline_id,split,period,metric,value,unit,direction,sample_count,status,notes
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,planned_grid_kwh,21013913.076316666,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,charge_kwh,0.0,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,discharge_kwh,0.0,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,emergency_kwh,736344.5036833333,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,surplus_kwh,3811068.0408999957,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,planned_purchase_cost_yuan,16419368.358407613,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,emergency_purchase_cost_yuan,2955248.8744828054,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,total_cost_yuan,19374617.2328904,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,planned_grid_kwh,20208551.649690337,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,charge_kwh,6630250.612916454,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,discharge_kwh,5370502.996462334,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,emergency_kwh,1108167.9477679015,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,surplus_kwh,2117782.4419041146,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,planned_purchase_cost_yuan,12268156.410999289,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,emergency_purchase_cost_yuan,4282273.40206328,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
weekday,Q2,M2-Q2-EXPERIMENT-weekday-v1.0,B1_WEEKDAY_MILP_R0,formal_output,formal_output,total_cost_yuan,16550429.81306258,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
